sentence,nutrient,pmid,label,label_0_ratio
conclusions: it is essential for women of childbearing age to correct vitamin d deficiency as well as to maintain their body mass index within the normal range before preparing for pregnancy.,vitamin d,40215702,3,0.0
effects of vitamin d supplementation in obese and overweight children and adolescents: a systematic review and meta-analysis.,vitamin d,37178775,4,0.0
"during lactation the total iron losses of the mother are 1 mg/day, and thus no supplementary iron is needed if the iron metabolism has been in balance during the pregnancy.",iron,2673607,3,0.0
"[functional iron deficiency, inflammation and fatigue after radiotherapy].",iron,26235415,1,0.0
"data extraction: inclusion criteria were human subjects, english language, vitamin d as the sole micronutrient under study, and measurement of vitamin d level during pregnancy.",vitamin d,34860917,3,0.0
"aim: to investigate the effects on lung function of iv magnesium in acute exacerbations of copd (aecopd), when given in conjunction with standard bronchodilator therapy.",magnesium,26914296,0,1.0
conclusions: our results suggest that vitamin d supplementation may slow down horvath epigenetic aging.,vitamin d,30256915,0,1.0
"extended winter sampling, being aged 16-18 years, low total vitamin d intake, being overweight/obese or being of non-white skin type were significant (p < 0.05) predictors of serum 25(oh)d < 30 nmol/l.",vitamin d,35780425,4,0.0
"it was shown that (1) hair treatment had a predominant effect on the contents of bromine, magnesium and calcium in hair, (2) aging and smoking contributed increasing mercury content in hair, and hair treatment acted reversely.",magnesium,7208973,3,0.0
"content mineral substances (magnesium, iron, copper and zinc) in rations adults and children reduced.",magnesium,24000702,4,0.0
"children who do not consume enough iron have decreased growth, reduced immunity, and poor cognitive development.",iron,39487304,4,0.0
association between physical activity and vitamin d is partially mediated by adiposity in older adults: epifloripa aging cohort study.,vitamin d,35430554,4,0.0
"c57bl/6 mice received iron dextran (100 mg/kg, intraperitoneally) over 4 weeks, and mvef protein abundance and iron levels (in mvefs and plasma) were quantified via western blotting and inductively coupled plasma-mass spectrometry (icp-ms), respectively.",iron,39939558,2,0.0
"furthermore, ascorbate cycling across the plasma membrane is responsible for ascorbate-stimulated iron uptake from low-molecular-weight iron-citrate complexes, which are prominent in the plasma of individuals with iron-overload disorders.",iron,25048971,4,0.0
"at present, more research is needed to explore the relationship between vitamin d3 and insulin resistance.",vitamin d,34997087,0,1.0
"an extensive literature review was conducted to identify whether iron deficiency, iron-deficiency anemia and anemia from any cause are causally related to low birth weight, preterm birth or perinatal mortality.",iron,11160592,4,0.0
