sentence,nutrient,pmid,label
aim: to investigate the effects of zinc-enriched spirulina supplementation (zss) on patients with copd.,zinc,39564630,3
"aluminum, boron, calcium, copper, iron, magnesium, manganese, molybdenum, phosphorus, potassium, sodium, and zinc: concentrations in common western foods and estimated daily intakes by infants; toddlers; and male and female adolescents, adults, and seniors in the united states.",zinc,11573761,4
"age, gender, number of acute diseases, use of psychoactive drugs, season of testing, and serum concentrations of calcium, parathyroid hormone, creatinine, albumin, tsh, vitamin b9 and vitamin b12 were used as potential confounders.",vitamin b12,33071932,3
[vitamin b12/b9 - possible treatment for mental fatigue].,vitamin b12,28696491,1
"amantadine, zinc, and crocus sativus extracts yield the potential to ameliorate depressive symptoms in patients with affective disorders.",zinc,39333460,3
these findings support the promotion of a balanced diet rich in vitamin b6.,vitamin b6,39508477,0
"furthermore, scanning electron microscopy (sem) and energy dispersion x-rays (edx) were used for examining the appearance and structure of the corroded zinc surface, respectively.",zinc,40109929,0
"and deficiency of zinc, magnesium and iron is related to the elevated blood lead level in the children aged 1-7 years.",zinc,21601238,4
"background: serum pyridoxal 5'-phosphate (plp), the active form of vitamin b6, is associated with reduced risk of pancreatic cancer.",vitamin b6,29734388,3
"female smokers had lower intake densities of thiamin, niacin, vitamin b6, folate, mg, na (p </= 0.05), protein, n-3 fatty acids, cholesterol, fe (p </= 0.01), vitamin b12 and se (p </= 0.001).",vitamin b6,22269176,4
"a middle-aged female with history of multinodular goiter, hashimoto disease, and chronic vitamin b12 deficiency presented with palpitations and subsequent exertional dyspnea.",vitamin b12,34695620,4
"a subgroup of children characterized by the prenatal metal-clique signature of zinc-chromium-cobalt had significantly increased depression scores; however, within that subgroup, children with a.muciniphila had much lower depression scores than those without a.muciniphila in the gm.",zinc,39640590,4
"in a double blind, randomized trial they received daily 2.5 mg folic acid, 25 mg vitamin b6, and 0.5mg vitamin b12 or placebo for 1 year.",vitamin b12,15939064,2
